GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mapcode Java Library,com.mapcode,IncorrectDataModelException,6,14,3,3,0,4,3,2,0,2
Mapcode Java Library,com.mapcode,Territory,179,11102,31,95,20,694,30,62,5,24
Mapcode Java Library,com.mapcode,Decoder,230,8801,77,403,37,517,76,179,0,15
Mapcode Java Library,com.mapcode,CheckArgs,0,45,0,4,0,10,0,5,0,3
Mapcode Java Library,com.mapcode,Alphabet,0,339,0,0,0,38,0,4,0,4
Mapcode Java Library,com.mapcode,Territory.AlphaCodeFormat,0,34,0,0,0,4,0,1,0,1
Mapcode Java Library,com.mapcode,UnknownTerritoryException,9,24,3,3,1,8,4,3,1,3
Mapcode Java Library,com.mapcode,UnknownPrecisionFormatException,6,14,3,3,0,4,3,2,0,2
Mapcode Java Library,com.mapcode,Rectangle,46,70,11,3,9,12,9,6,2,6
Mapcode Java Library,com.mapcode,Data,22,270,16,24,0,18,16,11,0,7
Mapcode Java Library,com.mapcode,UnknownAlphabetException,6,14,3,3,0,4,3,2,0,2
Mapcode Java Library,com.mapcode,Decoder.Unicode2Ascii,0,12,0,0,0,5,0,1,0,1
Mapcode Java Library,com.mapcode,UnknownMapcodeException,6,14,3,3,0,4,3,2,0,2
Mapcode Java Library,com.mapcode,Point,97,526,28,44,9,106,31,31,3,23
Mapcode Java Library,com.mapcode,MapcodeZone,56,261,8,30,4,57,9,27,2,15
Mapcode Java Library,com.mapcode,Common,57,947,31,43,1,38,31,10,0,4
Mapcode Java Library,com.mapcode,DataModel,59,446,14,30,5,67,15,22,1,14
Mapcode Java Library,com.mapcode,MapcodeCodec,52,397,20,36,7,84,18,29,0,19
Mapcode Java Library,com.mapcode,Encoder,22,1746,14,140,6,264,14,74,0,11
Mapcode Java Library,com.mapcode,Mapcode,134,292,15,25,16,56,20,24,6,18
Mapcode Java Library,com.mapcode,Boundary,37,133,2,16,2,29,3,16,1,9
